staff_id,first_name,last_name,full_name,staff_type,job_title,grade,department,cost_centre_id,monthly_salary,salary_currency,contract_type,contract_start,contract_end,location_id,is_active,national_id
STF-001,Emmanuel,Mwangi,Emmanuel Mwangi,National Staff,Executive Director,M2,Senior Management,CC-OVH-MGT,5800000,TZS,Permanent,2017-01-01,,LOC-KIL-001,True,1981018-5012-38-28289
STF-002,Grace,Kimaro,Grace Kimaro,National Staff,Finance Manager,G5,Finance,CC-SUP-FIN,3200000,TZS,Permanent,2017-06-01,,LOC-KIL-001,True,1981812-7912-14-13905
STF-003,James,Mollel,James Mollel,National Staff,Operations Manager,G4,Operations,CC-SUP-FIN,2400000,TZS,Permanent,2018-03-01,,LOC-KIL-001,True,1981317-9279-87-13478
STF-004,Mary,Mrema,Mary Mrema,National Staff,Procurement Manager,G4,Procurement,CC-SUP-FIN,2400000,TZS,Permanent,2018-06-01,,LOC-KIL-001,True,1988327-7873-38-68878
STF-005,Peter,Swai,Peter Swai,National Staff,Programme Manager,G5,Programmes,CC-PRG-HLT,3200000,TZS,Permanent,2018-01-01,,LOC-KIL-001,True,1989410-3615-99-65392
STF-006,Rehema,Lyimo,Rehema Lyimo,National Staff,M&E Manager,G4,Monitoring and Evaluation,CC-PRG-HLT,2400000,TZS,Permanent,2018-09-01,,LOC-KIL-001,True,1985414-4527-53-23396
STF-007,Samuel,Massawe,Samuel Massawe,National Staff,Deputy Director - Programmes,M1,Senior Management,CC-OVH-MGT,4500000,TZS,Permanent,2019-01-01,,LOC-KIL-001,True,1981613-6881-54-89131
STF-008,Josephine,Mchome,Josephine Mchome,National Staff,Programme Manager,G5,Programmes,CC-PRG-EDU,3200000,TZS,Permanent,2019-03-01,,LOC-ARU-001,True,1984024-9785-25-59615
STF-009,David,Tarimo,David Tarimo,National Staff,Senior Finance Officer,G4,Finance,CC-SUP-FIN,2400000,TZS,Permanent,2019-06-01,,LOC-KIL-001,True,1981819-6925-83-35203
STF-010,Fatuma,Urio,Fatuma Urio,National Staff,HR Manager,G4,Human Resources,CC-SUP-FIN,2400000,TZS,Permanent,2019-09-01,,LOC-KIL-001,True,1981017-5741-20-40512
STF-011,John,Venance,John Venance,National Staff,Senior Programme Officer,G4,Programmes,CC-PRG-EDU,2400000,TZS,Permanent,2020-01-01,,LOC-ARU-001,True,1981618-8428-91-57819
STF-012,Zainab,Shayo,Zainab Shayo,National Staff,Programme Manager,G5,Programmes,CC-PRG-WEE,3200000,TZS,Permanent,2019-06-01,,LOC-KIL-001,True,1982521-4432-95-44993
STF-013,Robert,Tesha,Robert Tesha,National Staff,Finance Officer,G3,Finance,CC-SUP-FIN,1850000,TZS,Permanent,2020-03-01,,LOC-KIL-001,True,1981915-9751-41-31417
STF-014,Joyce,Nkya,Joyce Nkya,National Staff,M&E Officer,G3,Monitoring and Evaluation,CC-PRG-EDU,1850000,TZS,Permanent,2020-06-01,,LOC-ARU-001,True,1987618-4598-97-52504
STF-015,Charles,Minja,Charles Minja,National Staff,Programme Manager,G5,Programmes,CC-PRG-CLR,3200000,TZS,Permanent,2020-01-01,,LOC-MAN-001,True,1980311-6168-61-45093
STF-016,Neema,Msemwa,Neema Msemwa,National Staff,Communications Manager,G4,Communications,CC-OVH-MGT,2400000,TZS,Permanent,2020-03-01,,LOC-KIL-001,True,1981328-6155-37-95909
STF-017,Thomas,Mfinanga,Thomas Mfinanga,National Staff,Procurement Officer,G3,Procurement,CC-SUP-FIN,1850000,TZS,Permanent,2020-06-01,,LOC-KIL-001,True,1987624-3340-43-28301
STF-018,Agness,Msigwa,Agness Msigwa,National Staff,Programme Manager,G5,Programmes,CC-PRG-AGR,3200000,TZS,Permanent,2019-09-01,,LOC-MAN-001,True,1983827-5304-84-66155
STF-019,Richard,Mwamba,Richard Mwamba,National Staff,Logistics Officer,G3,Operations,CC-SUP-FIN,1850000,TZS,Fixed Term,2021-01-01,2025-12-31,LOC-KIL-001,True,1989621-4593-27-76784
STF-020,Sarah,Ndossi,Sarah Ndossi,National Staff,Accountant,G3,Finance,CC-SUP-FIN,1850000,TZS,Permanent,2021-03-01,,LOC-ARU-001,True,1987111-2796-29-92240
STF-021,George,Ngowi,George Ngowi,National Staff,Programme Manager,G5,Programmes,CC-PRG-CHP,3200000,TZS,Permanent,2020-06-01,,LOC-ARU-001,True,1982612-7304-58-88104
STF-022,Helena,Lengai,Helena Lengai,National Staff,Deputy Director - Finance and Operations,M2,Senior Management,CC-OVH-MGT,5937881,TZS,Fixed Term,2020-10-25,2025-09-23,LOC-ARU-001,True,19701224-5315-74-33416
STF-023,Editha,Ndossi,Editha Ndossi,National Staff,Programme Officer,G4,Programmes,CC-PRG-EDU,2556170,TZS,Fixed Term,2023-01-19,2026-11-26,LOC-KIL-001,True,19700212-6038-40-17592
STF-024,Samuel,Msoka,Samuel Msoka,National Staff,Logistics Officer,G2,Operations,CC-SUP-FIN,1576653,TZS,Permanent,2022-05-01,,LOC-MAN-001,True,19971014-4470-79-36365
STF-025,Zawadi,Maro,Zawadi Maro,National Staff,Senior Programme Officer,G2,Programmes,CC-PRG-HLT,1420646,TZS,Permanent,2020-10-16,,LOC-KIL-001,True,19880401-2163-90-17716
STF-026,Rehema,Mfinanga,Rehema Mfinanga,National Staff,Procurement Assistant,G3,Procurement,CC-SUP-FIN,2049391,TZS,Permanent,2023-01-18,,LOC-KIL-002,True,19880808-8749-62-34957
STF-027,Yohana,Nkya,Yohana Nkya,National Staff,Operations Manager,G2,Operations,CC-SUP-FIN,1399724,TZS,Permanent,2020-10-21,,LOC-KIL-001,True,19870805-7912-33-46509
STF-028,Leonard,Mworomola,Leonard Mworomola,National Staff,Procurement Assistant,G3,Procurement,CC-SUP-FIN,2004615,TZS,Consultancy,2017-03-02,2025-09-04,LOC-KIL-002,True,19850428-7570-17-31579
